MutationType	CPCT02030245T	CPCT02030257T	CPCT02070015T	CPCT02040043T	CPCT02100032T	CPCT02160007T	CPCT02030286T	CPCT02100140T	CPCT02100141T	CPCT02330072TII	CPCT02330132T	CPCT02130030T	CPCT02060183T	CPCT02130033T	CPCT02300031T	CPCT02180054T	CPCT02090037T	CPCT02130041T	CPCT02060200T	WIDE01010009T	CPCT02330094T	CPCT02110061T	WIDE01010016T	CPCT02230070T	CPCT02340070T	CPCT02340073T	CPCT02050330T	CPCT02340077T	WIDE01010064T	CPCT02050314T	CPCT02220037T	WIDE01010073T	CPCT02210045T	CPCT02100163T	CPCT02130049T	CPCT02050343T	CPCT02020712T	CPCT02130070T	CPCT02130071T	DRUP01020027T	CPCT02050349T	CPCT02040242T	CPCT02300039T	CPCT02010815T	CPCT02010813T	WIDE01010355T	CPCT02330072T	CPCT02130091T	CPCT02230097T	CPCT02050357T	CPCT02010833T	CPCT02060213T	CPCT02130107T	CPCT02070342T	CPCT02050362T	CPCT02150012T	DRUP01210002T	CPCT02130105T	CPCT02100176T	CPCT02230106T	CPCT02060199T	DRUP01330005T	CPCT02120150T	CPCT02060248T	CPCT02060255T	DRUP01010088T	CPCT02440014T	CPCT02050384T	CPCT02030519T	CPCT02050380T	CPCT02130140T	CPCT02220056T	DRUP01210003T	DRUP01050030T	CPCT02210067T	CPCT02150021T	CPCT02080255T	CPCT02330124T	CPCT02100186T	CPCT02050403T	DRUP01330013T	DRUP01050033T	DRUP01440001T	CPCT02040156T	DRUP01340013T	CPCT02080141T	CPCT02010662T	CPCT02120069T	CPCT02100126T	CPCT02380021T	CPCT02020622T	CPCT02340034T	CPCT02210033T	CPCT02050163T	CPCT02030277T	CPCT02100064T	CPCT02010569T	CPCT02110032T	CPCT02340011T	CPCT02330033T	CPCT02040119T	CPCT02020536T	CPCT02340012T	CPCT02020527T	CPCT02020526T	CPCT02100098T	CPCT02230029T	CPCT02230030T	CPCT02230034T	CPCT02070034T	CPCT02030363T	CPCT02230039T	CPCT02080130T	CPCT02340019T	CPCT02050233T	CPCT02100044T	CPCT02050100T	CPCT02030243T	CPCT02050041T	CPCT02030310T	CPCT02220007T	CPCT02030307T	CPCT02030304T	CPCT02110018T	CPCT02100061T	CPCT02070120T	CPCT02120011T	CPCT02120012T	CPCT02050147T	CPCT02030335T	CPCT02040108T	CPCT02400002T	CPCT02340041T	CPCT02380030T	CPCT02040196T	CPCT02230068T	CPCT02100127T	CPCT02100133T	CPCT02090026T	CPCT02050287T	CPCT02050292T	DRUP01050016T	CPCT02250004T	WIDE01010644T	WIDE01010539T	WIDE01010590T	WIDE01010691T	WIDE01010704T	WIDE01010725T
[Del(C):R1]A	6	18	13	11	11	9	16	12	22	11	29	11	22	11	15	25	25	21	19	15	19	13	13	22	11	4	44	11	56	22	21	15	29	11	44	15	16	19	33	35	152	10	15	24	12	12	14	28	9	22	28	6	14	8	13	41	24	9	20	19	5	23	22	11	8	10	34	20	14	49	162	16	18	33	15	14	26	15	17	7	21	41	37	12	26	22	17	27	21	13	29	7	23	12	38	14	21	20	8	12	17	31	12	15	34	9	13	13	12	30	6	34	19	24	27	15	9	22	48	17	11	19	9	8	13	5	11	20	25	40	15	26	34	13	25	10	21	15	12	19	19	36	27	6	20	42	16	14	29
[Del(C):R1]T	17	37	10	11	31	14	25	19	26	33	22	11	34	11	20	16	38	22	22	7	28	35	17	37	22	7	45	22	102	15	29	31	29	25	58	24	30	26	48	49	71	14	22	54	18	30	23	137	28	36	31	19	16	5	27	95	25	20	33	26	4	53	20	10	17	15	48	4	10	60	137	24	23	27	23	25	52	15	38	8	56	43	53	17	35	24	16	22	29	21	56	12	37	26	69	10	33	29	10	13	17	38	16	16	50	23	16	33	9	33	12	68	34	27	48	25	10	20	54	36	20	28	13	10	12	22	22	23	26	57	23	40	43	17	23	13	41	12	31	38	43	62	30	13	28	37	25	20	50
[Del(C):R2]A	3	14	9	10	10	6	7	6	12	13	11	6	10	5	8	11	10	7	11	4	4	10	7	13	7	4	15	8	27	8	6	8	7	6	31	3	25	13	18	43	190	5	12	10	6	6	7	17	6	8	15	5	9	2	5	24	6	2	7	19	0	11	16	8	1	6	11	6	5	16	60	5	9	10	6	6	17	8	9	0	24	14	16	6	12	9	9	11	12	8	9	7	6	18	20	4	8	11	5	5	8	22	8	4	14	5	8	8	6	7	5	13	13	12	10	3	5	20	15	13	12	11	6	6	5	9	7	11	11	40	8	7	16	2	7	10	10	9	7	7	5	18	6	3	7	5	11	2	20
[Del(C):R2]T	7	17	14	7	7	14	7	8	14	16	22	6	14	6	9	10	17	16	7	2	10	5	8	13	6	4	13	15	41	9	15	6	7	8	36	6	22	9	9	30	116	8	6	21	9	13	13	65	9	10	10	6	7	4	7	42	6	4	14	14	1	13	10	14	11	12	29	7	8	24	50	12	12	15	6	9	21	7	14	4	17	14	29	10	15	6	8	19	12	7	17	4	19	9	32	6	20	6	1	7	9	18	9	2	15	6	8	12	8	15	5	33	18	11	17	8	9	26	23	15	10	8	9	11	6	5	15	8	15	44	13	16	17	6	12	8	28	7	11	12	11	25	10	8	11	13	10	16	33
[Del(C):R3]A	2	8	7	6	9	6	2	5	5	7	8	4	9	4	7	8	9	6	3	2	1	4	2	9	6	4	5	2	12	4	5	4	8	9	21	9	9	13	4	18	197	4	7	9	5	9	6	15	10	8	8	1	8	2	2	19	6	4	6	4	0	15	13	5	3	7	5	6	0	12	54	3	2	3	4	1	10	6	10	2	23	5	9	1	10	7	4	12	8	6	14	4	2	3	17	2	11	5	5	8	6	11	2	4	7	5	5	10	5	5	0	9	9	8	7	7	3	5	16	4	8	7	1	3	3	6	9	5	9	28	3	5	15	4	7	7	9	2	7	8	8	8	5	1	5	5	3	8	11
[Del(C):R3]T	1	8	2	2	2	7	5	4	6	5	6	3	5	3	5	1	7	6	2	2	6	4	1	9	1	1	6	4	14	1	6	5	4	2	17	4	7	8	5	13	104	6	1	8	4	10	3	10	5	7	4	2	1	2	0	15	3	1	10	5	1	7	6	7	0	2	5	4	3	4	46	1	4	1	6	5	8	1	5	2	9	6	5	4	10	2	4	7	3	4	7	3	5	1	12	1	3	3	2	4	6	8	3	2	10	2	5	10	2	1	2	10	9	4	6	6	2	26	8	7	3	2	3	2	1	2	3	2	2	21	1	5	11	0	7	5	5	5	5	7	7	6	5	2	5	11	5	3	6
[Del(C):R(4,5)]A	3	11	19	6	10	4	9	9	8	11	11	6	8	3	9	13	6	11	6	6	2	3	4	8	7	1	6	2	13	5	7	1	7	3	20	5	16	10	15	14	91	6	3	10	4	10	10	20	1	7	12	2	3	3	7	16	7	3	11	6	2	16	14	11	3	3	14	6	10	15	523	8	3	7	5	7	11	8	7	1	13	8	14	8	9	13	8	7	14	4	14	7	7	8	10	10	11	7	4	5	7	12	9	3	6	3	12	10	5	10	3	19	10	13	7	12	3	14	19	9	7	8	3	9	2	7	8	5	12	13	9	10	11	4	10	7	7	4	10	8	5	13	9	2	12	9	6	9	12
[Del(C):R(4,5)]T	2	5	4	6	5	1	7	10	9	12	3	3	8	4	5	8	4	10	3	2	5	4	8	10	3	1	2	3	16	1	6	8	6	4	10	1	2	1	5	7	66	2	2	7	3	2	6	20	3	7	3	1	3	1	3	10	7	1	10	3	1	11	2	2	0	3	9	2	7	6	390	3	8	2	2	4	13	7	8	1	14	2	10	2	5	6	6	10	14	4	9	3	10	9	12	5	9	1	3	6	3	7	2	4	10	8	5	7	8	2	1	12	7	6	6	3	3	10	7	8	4	6	5	5	5	6	11	7	10	12	5	2	6	6	7	2	6	3	2	7	4	6	3	2	3	6	5	7	5
[Del(C):R(1,5)]G	0	4	6	5	15	5	6	8	8	5	8	2	6	7	2	3	13	6	1	5	6	3	5	3	4	3	5	5	10	3	6	3	9	2	17	6	4	7	5	12	117	3	2	7	2	3	4	12	3	12	10	5	9	1	3	19	9	3	10	8	2	5	8	2	1	16	7	6	6	12	198	5	5	4	1	9	10	8	8	4	5	5	8	4	8	3	4	7	3	7	16	3	7	7	13	1	8	8	3	5	9	15	3	5	9	8	5	8	5	3	1	10	10	4	8	5	3	9	12	4	3	7	4	4	5	3	10	9	5	15	9	3	10	4	8	3	6	7	8	14	6	9	2	6	7	5	5	5	9
Del(C):R(6,9)	6	25	50	6	15	4	21	8	34	40	29	12	38	9	13	33	13	21	10	16	8	18	9	40	19	3	13	6	45	3	20	5	27	16	40	3	13	8	10	15	41	11	12	42	5	16	31	22	14	13	21	5	14	10	18	37	26	4	11	17	3	36	19	13	9	8	38	8	56	47	2206	13	12	7	23	21	22	17	25	5	22	11	42	23	26	19	10	15	30	15	38	22	19	20	27	17	35	10	15	10	7	16	13	3	15	12	13	22	14	14	11	42	24	38	16	21	14	5	43	10	11	13	7	11	15	18	28	39	33	30	12	15	37	8	40	12	37	5	18	12	18	17	40	8	42	38	15	16	22
A[Del(T):R(1,4)]A	11	46	38	17	16	15	20	23	31	43	21	12	40	18	20	29	27	27	13	6	10	13	13	30	18	4	20	16	37	16	29	17	30	18	54	17	29	19	19	22	44	20	10	48	16	31	27	66	12	17	29	8	13	10	27	50	25	11	31	35	3	38	13	15	30	9	28	19	23	51	352	25	16	15	24	32	40	26	31	10	27	23	36	18	40	25	154	26	29	25	61	16	34	22	65	13	40	16	9	19	18	21	13	10	24	17	13	33	16	30	13	57	16	32	26	31	18	42	66	33	16	33	11	17	23	19	37	31	43	29	11	29	45	16	41	15	35	15	25	28	27	35	33	10	44	43	26	17	32
A[Del(T):R(1,4)]C	11	11	11	6	9	14	12	9	12	12	14	6	22	7	6	6	12	12	4	9	5	7	12	16	11	0	5	8	16	6	13	10	11	8	37	8	17	8	3	19	15	11	7	23	7	11	7	32	4	15	14	5	8	2	11	18	10	7	17	10	2	25	16	6	8	5	18	11	5	19	168	11	9	7	15	13	20	2	25	3	18	7	21	4	12	14	6	12	15	11	14	13	14	10	27	9	18	12	7	10	7	14	11	5	21	9	12	8	6	6	9	22	14	15	15	15	15	39	31	20	13	23	11	5	7	10	18	10	12	19	9	7	16	4	19	8	12	7	9	10	11	23	16	2	12	14	12	9	16
A[Del(T):R(1,4)]G	4	14	10	8	8	11	10	15	10	22	12	6	16	8	1	3	7	18	11	11	5	7	10	20	10	8	12	5	16	10	10	5	8	10	28	9	17	19	2	21	22	3	11	14	13	10	14	36	6	8	9	7	2	0	13	30	6	0	23	19	2	14	21	5	8	5	15	4	8	18	108	6	8	11	5	11	13	6	9	6	11	12	19	6	15	10	5	10	9	11	22	5	4	10	27	10	17	12	5	6	6	8	6	4	11	7	6	6	7	11	5	26	14	14	18	11	5	39	13	9	9	13	5	5	6	4	9	9	12	14	9	17	19	5	19	6	14	7	16	7	8	15	14	6	10	24	12	6	18
