MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491
[Del(C):R1]A	14	16	20	31	15	10	48	10	11	3	14	35	12	11	6	34	2	23	7	25	5	12	7
[Del(C):R1]T	15	15	19	46	31	16	42	11	10	7	24	56	25	16	15	42	2	32	12	30	9	24	7
[Del(C):R2]A	12	14	21	24	13	10	55	2	29	2	2	44	8	10	9	21	7	12	3	27	6	15	6
[Del(C):R2]T	6	9	17	24	9	2	69	3	22	6	5	30	7	12	10	16	3	12	6	19	9	14	7
[Del(C):R3]A	9	7	19	22	10	20	32	1	34	1	3	26	6	4	5	10	2	9	5	22	3	8	5
[Del(C):R3]T	8	5	9	10	5	9	19	0	12	0	3	18	3	6	4	4	2	4	1	18	2	8	1
[Del(C):R(4,5)]A	12	9	23	20	6	13	13	2	39	2	4	32	7	4	4	25	2	9	4	24	3	7	5
[Del(C):R(4,5)]T	7	4	13	15	5	10	14	3	16	0	4	13	3	9	3	13	2	5	2	15	3	5	4
[Del(C):R(1,5)]G	12	9	17	21	18	8	26	3	20	0	9	18	2	7	8	13	2	5	1	14	5	4	1
Del(C):R(6,9)	7	6	4	5	1	5	5	3	11	4	6	14	9	7	5	12	2	7	13	15	1	3	6
A[Del(T):R(1,4)]A	10	29	20	29	11	7	9	2	11	6	12	44	9	12	9	20	1	7	7	19	4	10	4
A[Del(T):R(1,4)]C	9	20	15	20	5	4	4	3	6	2	11	23	3	9	7	11	2	7	9	19	4	13	3
A[Del(T):R(1,4)]G	9	9	8	22	8	1	8	4	5	3	8	16	9	7	3	17	1	3	6	7	1	8	4
C[Del(T):R(1,4)]A	8	6	12	14	10	4	8	1	16	1	19	25	5	5	3	11	3	2	6	19	2	11	1
C[Del(T):R(1,4)]C	1	5	6	18	6	3	6	2	6	2	9	18	3	8	4	13	1	6	4	7	3	11	1
C[Del(T):R(1,4)]G	5	6	11	20	5	5	9	5	10	2	9	15	9	12	5	9	5	6	3	9	2	7	3
G[Del(T):R(1,4)]A	4	5	8	16	7	3	5	2	8	2	9	17	3	4	2	7	2	1	9	8	4	7	1
G[Del(T):R(1,4)]C	3	8	6	6	3	0	2	0	6	1	4	7	3	4	2	6	2	1	2	10	2	7	1
G[Del(T):R(1,4)]G	2	2	5	12	3	4	9	1	5	1	7	14	4	5	3	9	1	3	0	6	3	10	1
A[Del(T):R(5,7)]A	12	7	8	21	10	2	8	0	5	9	15	21	19	4	2	9	6	13	32	19	3	13	14
A[Del(T):R(5,7)]C	8	13	6	9	6	4	5	2	4	3	9	15	13	6	1	9	5	12	18	10	1	5	9
A[Del(T):R(5,7)]G	6	16	1	14	6	1	5	0	4	3	8	13	12	1	1	12	5	4	22	8	2	3	5
C[Del(T):R(5,7)]A	1	10	9	8	4	3	1	2	3	4	4	10	5	2	2	3	2	5	21	15	4	7	7
C[Del(T):R(5,7)]C	3	9	5	8	5	4	2	3	3	2	2	8	7	2	3	8	1	4	11	8	0	8	6
C[Del(T):R(5,7)]G	0	7	7	5	2	4	4	2	2	1	5	7	8	3	3	6	1	5	10	7	0	5	3
G[Del(T):R(5,7)]A	4	3	2	4	0	5	5	0	3	1	4	8	6	1	1	11	1	7	11	12	1	5	4
G[Del(T):R(5,7)]C	1	4	1	5	3	0	0	1	2	0	6	2	4	1	1	5	1	3	10	4	0	1	0
G[Del(T):R(5,7)]G	1	3	5	8	1	1	3	1	1	0	10	8	8	5	1	2	1	2	10	6	2	2	2
A[Del(T):R(8,)]A	4	7	5	15	3	3	9	0	5	5	7	4	12	0	3	8	9	12	33	13	3	2	8
A[Del(T):R(8,)]C	2	4	2	4	3	0	4	0	1	7	7	7	17	3	1	10	5	7	32	12	3	6	6
A[Del(T):R(8,)]G	2	2	0	3	1	0	0	0	1	2	3	1	11	1	1	4	1	2	15	0	2	3	0
C[Del(T):R(8,)]A	2	3	0	4	0	0	2	1	1	2	3	2	12	2	3	3	5	9	35	2	1	1	4
C[Del(T):R(8,)]C	0	3	1	6	1	2	4	1	0	2	3	2	9	1	2	6	5	6	31	7	0	0	5
C[Del(T):R(8,)]G	0	1	0	2	1	1	2	0	1	3	1	4	4	1	0	4	2	3	13	4	0	2	0
G[Del(T):R(8,)]A	1	4	1	1	1	0	2	0	0	2	3	2	8	1	1	8	2	1	14	3	1	1	2
