Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP23435	9	23	6	42	7	28	1	67	17	9	6	0
SP112829	2	17	0	49	9	69	0	38	200	14	0	13
SP112947	4	0	0	54	9	29	2	15	23	23	0	166
SP112985	0	1	0	0	0	0	0	0	0	0	0	31
SP112925	8	18	0	47	18	30	9	19	16	18	23	130
SP112937	6	0	20	13	9	15	1	26	6	11	0	15
SP112989	3	0	0	22	5	11	1	35	25	7	2	11
SP111145	30	13	0	50	13	14	1	87	19	34	7	1
SP111143	7	36	13	33	7	48	0	43	18	14	0	0
SP125584	2	0	0	2	3	0	2	0	4	1	0	0
SP111144	15	14	0	103	16	46	1	90	0	30	0	0
SP116296	0	0	0	14	0	12	0	30	8	0	2	4
SP116254	16	23	9	77	54	45	1	6	23	0	0	0
SP116256	18	4	8	83	58	42	1	4	20	3	0	0
SP116274	12	0	0	28	13	6	0	37	4	17	2	0
SP116259	7	11	0	67	2	23	1	50	15	7	8	0
SP116290	2	15	0	0	7	21	0	17	10	10	0	1
SP116258	3	18	14	79	33	34	0	26	16	3	0	0
SP116261	0	0	0	5	2	17	0	16	0	4	2	1
SP23463	0	3	0	15	6	9	2	2	11	12	0	0
SP116268	4	5	0	6	1	14	0	14	6	12	0	0
SP23471	5	9	0	20	4	15	0	17	9	9	0	0
SP116266	4	24	0	13	2	21	0	29	12	23	0	0
SP116264	8	25	0	32	2	37	7	28	16	20	4	0
SP116269	3	9	2	40	2	24	2	44	12	27	0	0
SP116275	15	8	0	33	7	8	1	47	7	14	1	0
SP23447	6	8	0	18	4	1	0	27	11	9	0	0
SP116255	27	3	0	99	63	30	2	13	24	2	0	2
SP23455	6	12	2	5	0	17	0	6	16	28	0	3
SP23475	10	7	0	8	0	15	0	21	5	15	0	1
SP116227	3	41	20	82	13	12	0	20	14	9	0	0
SP116226	4	4	0	12	2	14	0	19	0	5	6	1
SP23443	16	1	10	77	0	47	4	19	8	7	10	0
SP116260	16	19	0	40	5	18	0	47	17	5	2	0
SP116280	20	53	16	138	28	36	6	67	28	54	4	0
SP116224	5	0	0	28	12	9	0	22	1	3	0	1
SP116249	0	0	0	0	0	0	0	0	0	3	0	0
SP116232	1	0	0	0	0	7	0	3	3	3	0	0
SP116251	2	5	0	5	1	3	0	14	11	7	8	2
SP116272	10	0	6	40	7	0	1	49	1	8	1	0
SP116286	2	0	1	8	0	17	0	13	8	0	0	0
SP116282	4	1	3	35	0	33	0	25	5	7	7	0
SP116288	2	0	1	9	0	3	0	4	2	0	1	0
SP23467	4	2	0	37	7	10	0	33	5	12	2	2
SP116263	3	0	0	14	5	14	0	11	0	15	1	1
SP116292	5	0	0	13	0	15	0	22	0	5	0	1
SP116248	2	0	0	14	3	0	0	27	8	0	1	0
SP116276	1	0	1	1	1	9	0	0	3	1	0	0
SP116265	17	36	2	37	7	34	4	63	35	28	2	0
SP116267	11	32	0	24	1	26	1	47	24	19	0	0
SP116253	3	0	3	29	17	25	0	44	6	22	2	0
SP23481	1	3	2	2	0	25	0	4	1	12	0	0
SP116233	14	9	6	55	57	27	0	16	16	3	0	0
SP116284	15	17	0	40	13	8	0	23	24	3	3	0
SP116270	0	4	0	12	2	8	0	28	12	7	2	0
SP116257	3	19	11	70	12	30	0	18	18	15	0	0
SP116298	1	0	1	5	2	0	0	4	0	0	0	0
SP116294	0	0	0	2	7	16	0	7	0	0	0	0
SP23439	9	54	0	1	81	30	6	40	16	74	6	3
SP23483	0	0	0	0	0	5	0	1	3	0	1	0
SP116262	2	2	6	14	2	8	1	26	0	5	1	0
SP116228	32	26	4	82	90	75	1	37	18	45	12	0
SP116222	4	17	1	10	0	25	1	32	0	3	3	2
SP23451	3	26	5	0	1	19	0	43	4	2	0	0
SP116247	15	7	0	44	6	20	0	30	0	24	4	1
SP116225	0	3	5	4	12	20	1	42	7	5	0	2
SP116273	10	8	0	30	5	0	0	38	0	14	0	0
SP116221	6	2	0	19	5	10	0	7	19	7	3	0
SP116271	2	0	0	6	0	0	0	20	2	5	1	0
SP23459	3	0	0	28	0	8	0	21	8	13	3	1
SP23479	8	26	0	0	2	15	0	23	1	3	1	0
SP116223	7	10	0	10	0	16	0	15	13	10	1	1
SP116229	27	62	6	124	2	6	9	74	22	17	0	2
SP23477	1	0	4	12	9	10	1	22	6	0	4	0
SP116252	13	0	5	22	13	32	0	15	15	21	4	0
SP116278	0	0	0	0	0	5	0	1	0	0	0	0
SP23431	278	67	88	272	6	23	0	72	7	8	0	0
SP116231	2	7	2	51	3	13	1	20	10	5	0	0
SP116250	2	0	0	5	1	8	0	2	5	13	0	0
SP112815	13	0	10	129	25	54	4	62	14	8	6	27
SP112799	1	10	0	38	3	29	0	36	14	16	9	0
SP112835	3	19	0	15	0	35	1	83	33	29	10	10
SP112955	0	0	23	31	3	32	0	24	32	7	5	50
SP112807	19	16	0	72	5	31	1	94	18	10	2	36
SP112953	27	24	0	97	9	66	2	0	10	46	0	142
SP112911	3	12	0	24	6	33	2	24	8	5	0	39
SP112847	13	29	0	43	5	27	1	39	3	20	0	10
SP112859	13	42	0	86	17	76	6	76	29	55	15	37
SP112919	14	36	0	18	0	30	0	60	8	15	7	16
SP102652	9	29	12	37	6	26	4	32	36	23	8	0
SP112981	5	0	14	55	15	42	0	57	3	11	0	45
