MutationType	CPCT02060013T	CPCT02100026T	CPCT02070020T	CPCT02030269T	CPCT02010944TIII	CPCT02020867T	CPCT02070272T	CPCT02020648T	CPCT02020362T	CPCT02440020T	CPCT02210077T	CPCT02070445T	CPCT02020894T	CPCT02020896T	CPCT02140101T	CPCT02210040T	DRUP01010020T	CPCT02020902T	CPCT02070443T	CPCT02080295T	CPCT02020916T	CPCT02020915T	CPCT02160036T	CPCT02120184T	CPCT02050315T	CPCT02120182T	CPCT02020940T	CPCT02010712T	CPCT02070294T	CPCT02070299T	CPCT02050437T	CPCT02050436T	CPCT02020952T	CPCT02020642TII	CPCT02020958T	CPCT02020684T	WIDE01010111T	CPCT02020958TII	CPCT02020972T	CPCT02020971T	CPCT02330103T	WIDE01010148T	CPCT02070480T	CPCT02360014T	CPCT02140107T	CPCT02070485T	WIDE01010202T	CPCT02020583TII	CPCT02020703T	CPCT02020973T	CPCT02020940TII	WIDE01010230T	CPCT02320002T	CPCT02050351T	CPCT02020979T	CPCT02080315T	CPCT02120203T	DRUP01050023T	CPCT02020983T	CPCT02140034T	WIDE01010280T	CPCT02020984T	CPCT02070154TII	CPCT02020986T	CPCT02020988T	CPCT02050445T	CPCT02070331T	CPCT02020989T	CPCT02050356T	WIDE01010412T	CPCT02140110T	CPCT02020717T	CPCT02130095T	DRUP01030012T	CPCT02070336T	CPCT02070332T	CPCT02050371T	CPCT02100178T	CPCT02020767T	CPCT02140072T	CPCT02060112T	CPCT02170032T	DRUP01070046T	WIDE01010565T	CPCT02020787T	CPCT02020778T	CPCT02050385T	CPCT02130142T	CPCT02020800T	CPCT02050395T	DRUP01070048T	CPCT02020817T	CPCT02080263T	CPCT02010944T	CPCT02020832T	CPCT02050351TII	CPCT02120168T	CPCT02440016T	CPCT02010935T	CPCT02010963T	CPCT02070401T	CPCT02230056T	CPCT02040169T	CPCT02020859T	CPCT02020633TII	CPCT02020621TII	CPCT02020586T	CPCT02070237T	CPCT02080273T	CPCT02070410T	CPCT02020600T	CPCT02010963TII	CPCT02120056T	CPCT02020840T	CPCT02040164T	CPCT02070244T	CPCT02020619T	CPCT02020633T	CPCT02010663T	CPCT02020614T	CPCT02290020T	CPCT02020632T	CPCT02050103T	CPCT02100072T	CPCT02100076T	CPCT02100077T	CPCT02070154T	CPCT02330034T	CPCT02070156T	CPCT02070162T	CPCT02070172T	CPCT02070188T	CPCT02270003T	CPCT02160026T	CPCT02070149T	CPCT02080119T	CPCT02110041T	CPCT02050216T	CPCT02070194T	CPCT02330046T	CPCT02070204T	CPCT02120020T	CPCT02260007T	CPCT02020583T	CPCT02070041T	CPCT02070043T	CPCT02050086T	CPCT02070044T	CPCT02220005T	CPCT02070057T	CPCT02330015T	CPCT02140037T	CPCT02070096T	CPCT02040064T	CPCT02070094T	CPCT02070102T	CPCT02050124T	CPCT02060073T	CPCT02060082T	CPCT02040105T	CPCT02010665T	CPCT02020629T	CPCT02080164T	CPCT02120080T	CPCT02050289T	CPCT02050297T	WIDE01010621T	WIDE01010461T	CPCT02120204T	CPCT02120206T	WIDE01010518T	CPCT02020991T	WIDE01010609T	CPCT02020993T	WIDE01010723T
[Del(C):R1]A	31	10	26	4	14	15	29	31	21	13	18	27	12	12	50	7	162	22	18	12	27	7	8	21	11	10	7	12	8	40	21	94	24	49	30	2	25	26	56	13	22	7	6	24	20	30	21	41	20	23	8	9	18	9	5	22	35	18	9	10	10	27	25	134	19	4	9	18	5	14	9	11	7	29	53	7	36	19	9	26	2	9	12	23	4	22	34	14	8	13	13	10	11	14	9	13	8	16	23	18	7	49	57	12	23	45	25	17	236	24	37	17	16	8	21	15	16	13	21	30	8	27	18	9	59	6	28	31	16	17	11	19	13	30	10	14	34	9	11	19	23	11	5	54	60	32	8	9	9	46	25	9	16	8	31	16	16	1	24	14	16	15	19	7	14	15	19	19	26	8	25	27	32	9	26
[Del(C):R1]T	24	7	47	10	23	35	26	34	31	18	29	35	17	18	77	12	132	30	19	13	25	12	11	36	11	19	6	21	17	23	29	73	45	101	23	7	24	26	82	14	20	18	13	32	52	37	19	42	50	14	11	12	8	14	10	40	34	15	5	14	5	17	30	142	17	11	5	16	10	15	6	15	17	50	63	6	43	27	8	52	7	6	18	30	12	27	34	25	12	10	11	8	4	23	9	25	21	12	37	26	20	48	44	22	43	25	31	38	217	26	32	25	10	12	29	29	22	20	37	35	18	32	11	22	47	11	25	29	23	13	16	21	9	19	5	35	43	8	13	19	24	47	4	59	34	31	6	19	23	65	26	23	17	10	29	13	22	3	47	21	49	10	34	10	16	18	8	15	27	12	42	29	30	9	48
[Del(C):R2]A	22	14	14	5	12	8	24	27	11	16	31	4	9	7	28	5	65	16	6	6	26	4	3	14	9	7	5	8	1	48	18	112	10	33	38	2	22	38	23	13	10	8	3	10	22	15	15	19	25	35	6	6	6	7	6	26	11	13	6	10	3	19	29	44	8	11	1	5	4	5	11	5	11	19	48	8	8	10	5	26	0	3	14	17	3	16	21	15	2	9	28	9	11	11	15	9	11	25	28	21	10	56	37	10	26	59	34	14	81	9	59	27	14	17	14	28	17	16	15	22	5	11	9	7	38	11	24	35	3	6	12	9	7	36	10	15	24	4	13	12	20	10	2	21	14	23	5	4	11	24	19	20	38	2	35	6	12	0	9	31	8	5	7	4	9	14	47	27	26	2	14	13	52	3	13
[Del(C):R2]T	23	5	14	4	9	15	19	14	9	11	19	8	9	8	37	3	46	10	6	6	22	3	2	28	4	2	12	7	6	24	16	48	12	37	11	6	23	10	23	14	9	10	3	19	27	28	8	18	23	13	15	5	3	8	2	28	13	10	3	6	5	23	30	47	14	9	5	15	7	14	7	10	7	19	104	7	10	7	5	23	4	6	8	21	3	12	20	15	5	4	16	8	4	10	11	9	5	14	23	13	15	39	38	5	24	20	33	12	75	20	28	19	22	13	23	30	16	12	20	16	9	9	14	7	21	5	31	25	10	8	13	5	8	14	10	15	14	1	9	10	43	14	2	22	10	15	3	4	6	12	14	13	12	5	24	9	2	1	10	19	19	6	12	4	11	9	12	13	25	11	15	9	29	6	17
[Del(C):R3]A	12	9	7	1	15	6	24	8	18	5	17	2	7	1	26	4	48	4	1	6	28	4	1	13	7	13	4	4	2	46	7	72	0	19	38	3	41	37	9	12	8	2	5	13	13	6	6	13	25	34	4	1	2	2	2	12	16	11	1	10	1	6	14	34	5	13	3	3	4	5	5	1	7	22	41	2	8	2	3	24	2	5	3	14	3	10	18	18	1	4	15	4	6	15	14	4	3	12	10	13	5	42	20	1	19	48	21	13	66	9	53	10	10	12	11	18	6	14	7	24	1	6	7	5	52	7	13	36	4	1	7	8	5	24	3	10	11	2	3	5	25	12	4	18	7	18	3	6	11	12	12	14	15	0	34	6	6	1	4	28	10	4	7	3	9	11	28	25	21	3	18	6	34	1	8
[Del(C):R3]T	10	7	5	1	11	3	10	7	5	2	18	3	7	5	29	4	45	4	1	4	11	2	1	10	2	8	5	6	2	9	5	29	4	12	14	2	14	14	6	9	1	2	4	6	7	3	5	8	10	7	4	1	1	2	3	9	8	6	2	8	2	9	11	42	3	2	0	3	1	2	4	6	3	8	37	2	6	4	1	5	1	3	4	12	1	6	14	9	3	9	7	1	0	11	3	6	1	12	9	10	7	28	22	1	14	16	11	9	79	6	13	16	10	8	11	13	10	8	9	10	3	3	2	5	14	5	10	7	5	1	3	4	6	17	7	6	6	3	3	7	16	7	4	6	9	13	1	2	5	20	6	10	9	0	11	5	4	1	6	17	5	1	5	3	1	6	8	8	8	1	15	3	18	3	10
[Del(C):R(4,5)]A	8	6	8	1	20	3	15	25	15	4	20	4	9	2	37	4	541	12	5	3	26	3	1	14	3	9	1	7	0	42	2	79	5	27	45	2	35	42	9	8	3	9	2	8	6	20	13	18	25	22	2	2	4	6	4	21	10	17	5	6	6	9	15	401	1	11	6	6	4	5	9	3	10	16	30	4	9	2	1	22	0	3	5	12	4	11	11	17	2	10	17	1	5	20	11	6	1	14	10	11	7	71	58	6	12	55	19	8	729	11	34	14	9	15	20	8	7	12	9	28	4	7	6	3	45	3	15	22	7	3	8	6	4	28	5	14	9	4	6	10	19	7	6	22	50	15	0	5	12	12	13	20	24	3	35	6	8	0	6	19	3	4	8	3	7	18	31	22	22	2	15	6	27	1	11
[Del(C):R(4,5)]T	6	8	7	2	9	2	9	12	2	7	14	1	3	1	31	5	468	5	4	5	20	1	1	8	3	7	2	6	1	27	4	35	3	11	20	2	16	20	9	10	4	7	2	2	12	6	4	10	14	14	2	1	1	7	2	15	10	7	5	6	4	10	6	525	5	6	1	1	1	4	4	6	3	9	21	2	1	5	1	9	0	2	7	11	2	6	7	9	3	6	9	5	2	9	5	9	3	13	11	8	3	48	59	7	12	24	15	4	539	11	14	8	11	8	5	11	5	8	5	13	5	4	3	4	27	4	6	16	3	2	6	4	0	12	5	6	7	2	6	4	18	2	4	9	47	8	1	2	4	11	7	11	7	1	14	4	3	0	6	11	3	2	1	1	3	7	21	10	12	3	16	5	17	1	6
[Del(C):R(1,5)]G	15	4	13	1	12	8	15	16	9	9	21	6	7	7	33	2	178	11	4	6	10	4	3	10	3	10	8	3	2	32	13	62	5	24	34	2	30	36	10	10	6	2	1	11	16	15	5	19	23	22	7	2	5	4	2	10	15	8	3	6	5	12	8	169	3	4	3	6	4	7	8	4	5	12	29	4	2	6	0	18	1	2	7	9	7	7	17	9	6	6	17	1	6	10	8	8	5	17	14	10	8	48	33	6	23	30	14	10	300	10	41	9	12	4	16	18	12	20	9	9	1	11	5	4	43	3	8	19	9	4	10	6	5	10	4	13	10	1	6	18	20	9	3	22	31	15	0	1	8	12	7	12	10	6	17	8	8	0	15	16	8	3	8	3	8	8	23	19	17	0	7	14	19	2	14
Del(C):R(6,9)	12	6	11	3	15	4	16	8	11	10	15	12	11	8	25	13	3250	6	6	19	12	5	6	5	2	7	2	22	3	21	17	44	15	24	17	2	16	17	27	7	7	10	1	11	12	14	12	13	9	14	3	4	6	0	6	13	11	6	3	4	8	10	6	3055	9	4	7	2	4	6	6	10	5	25	14	2	4	7	7	22	3	2	5	6	5	12	10	17	0	9	7	3	6	13	13	1	1	5	8	11	4	68	271	6	9	12	18	21	4071	16	37	15	16	9	39	4	12	7	5	12	14	16	3	2	19	5	5	13	6	6	2	6	1	14	11	12	10	8	5	8	19	15	2	18	462	9	2	4	13	16	14	11	10	2	11	10	10	1	11	6	4	6	2	7	6	4	13	13	17	6	13	12	16	7	9
