hdp.1	hdp.2	hdp.3	hdp.4
A[Del(C):R1]A	0.000955217679734872	0.00819286258446168	0.00244162325110703	0.0116744754217501
A[Del(C):R1]G	0.000245843880477172	0.00137934438671994	0.000503317073693116	0.0011374272635116
A[Del(C):R1]T	0.000203400777354228	0.0126234104736607	0.0167581977917112	0.0082751490182951
A[Del(C):R2]A	0.000305851035286731	0.0027083071247946	0.000199304042183444	0.0113749691613031
A[Del(C):R2]G	3.10843453416566e-05	0.00075894057959263	0.00181217944027096	0.00192965614870333
A[Del(C):R2]T	0.000247290775852502	0.00377456555207606	0.00200434423318216	0.00468720332337719
A[Del(C):R3]A	0.000518474197946324	0.00140519879911997	0.00100425439762882	0.00982575561598617
A[Del(C):R3]G	0.000173554471185898	0.000255609022888761	4.75949951482852e-06	0.000408582261344705
A[Del(C):R3]T	0.0003166738126942	0.00161024751503493	0.000207038228895041	0.00450805678805864
A[Del(C):R4]A	0.00120446113525912	0.00177713991649969	0.000261177535876215	0.00315972139509738
A[Del(C):R4]G	0.000353510510780212	0.000568312143051826	8.32912415094991e-06	5.64186211539739e-05
A[Del(C):R4]T	0.000763749385632497	0.000638320685216965	0.0032132571099486	0.002624371367703
A[Del(C):R5]A	0.00274996431767279	0.000722315622244116	2.55823098922033e-05	0.00208707106698478
A[Del(C):R5]G	0.000731250857332691	0.000294020563522568	3.56962463612139e-06	8.48368895870867e-05
A[Del(C):R5]T	0.00276420931718539	0.000268140628504176	0.000519975321995016	0.00133733027920531
A[Del(C):R6]A	0.00457966039885933	0.000294939377783577	2.67721847709104e-05	0.000596505026620534
A[Del(C):R6]G	0.00109713169448703	1.50072995964644e-05	5.94937439353565e-07	0.000173713631059273
A[Del(C):R6]T	0.00259004085909239	6.32960935361085e-05	0	1.04478928062915e-05
A[Del(C):R7]A	0.00469416895703285	0.000157270374342541	2.20126852560819e-05	0.000196698995233114
A[Del(C):R7]G	0.0010566764997928	1.71001543020938e-06	0	1.3930523741722e-07
A[Del(C):R7]T	0.0007700930782259	0.00011842494919659	0	5.05678011824507e-05
A[Del(C):R8]A	0.00164478033587957	4.91055177272068e-05	1.78481231806069e-06	2.11743960874174e-05
A[Del(C):R8]G	7.04273178517189e-05	2.29703565252007e-07	0	1.3930523741722e-07
A[Del(C):R8]T	0.000213898946929667	0.00012646457398041	2.37974975741426e-06	9.50061719185438e-05
A[Del(C):R(9,)]A	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0
G[Del(C):R1]A	1.63562085906879e-07	0.00314497360233867	0.000431329643531334	0.00684671311381893
G[Del(C):R1]G	7.13407491930142e-05	0.000668284239173171	1.01139364690106e-05	0.00101971433789405
G[Del(C):R1]T	0.000121911629815638	0.00439397397708727	0.00610584294008564	0.00522492153980766
G[Del(C):R2]A	0.000224130384488088	0.00267101857936869	0.000583633628005847	0.0127159213766812
G[Del(C):R2]G	6.11772528087391e-05	0.000330415817305831	2.02278729380212e-05	0.00168796156178445
G[Del(C):R2]T	0.000316480054530895	0.00202945652161984	0.00220840777488043	0.00620813790549839
G[Del(C):R3]A	0.000524176223895016	0.00146877564145805	0.000141595110566148	0.00858482456107358
G[Del(C):R3]G	0.000163031138212627	0.000413440894835251	0.000612190625094818	0.000987256217575835
G[Del(C):R3]T	0.000306127832662881	0.0005043014162016	0.000315911780296743	0.00299269441543413
G[Del(C):R4]A	0.00131584691576171	0.000175723227417785	0.00197162267401771	0.00382156057806659
G[Del(C):R4]G	0.000557497595303922	0.000674792506855312	2.97468719676782e-06	0.000364004585371195
G[Del(C):R4]T	0.000842754905805085	0.000244021754152715	0.00114109000868014	0.00220213719309141
G[Del(C):R5]A	0.00225846779854197	0.000690973846896397	0.000531874070782087	0.00131197672599537
G[Del(C):R5]G	0.0005623189023285	0.000120594371757303	1.78481231806069e-05	0.000555270676345037
G[Del(C):R5]T	0.0021148049276405	0.000558358321890905	0.00126959649558051	0.00113060130687815
G[Del(C):R6]A	0.00318835348567954	0.000422756650537138	3.03418094070318e-05	0.00119816434702551
G[Del(C):R6]G	0.0010344119253912	2.32000600904527e-05	0	4.17915712251659e-07
G[Del(C):R6]T	0.00177759526597574	0.000141165602156539	3.45063714825068e-05	0.000180678892930134
G[Del(C):R7]A	0.00209684077792836	0.000102651971049286	1.18987487870713e-06	0.000121334861790398
G[Del(C):R7]G	0.000754665399015207	2.19494517907473e-06	5.94937439353565e-07	2.78610474834439e-07
G[Del(C):R7]T	0.000838975363450745	6.52358125315699e-05	0	1.95027332384107e-06
G[Del(C):R8]A	0.000690893799890006	3.58592787976744e-05	5.94937439353565e-07	1.25374713675498e-06
G[Del(C):R8]G	0.000120771727893856	1.02090473445336e-07	0	1.3930523741722e-07
G[Del(C):R8]T	0.00025160629858066	1.02090473445336e-07	0	2.78610474834439e-07
G[Del(C):R(9,)]A	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0
T[Del(C):R1]A	0.000174148327374729	0.00638473820927133	0.00309069999744177	0.0133159090342372
T[Del(C):R1]G	3.05861100645864e-05	0.000702025140646855	4.75949951482852e-06	0.00220575912926426
T[Del(C):R1]T	0.000532090112513126	0.0237210532990626	0.0194229225825758	0.0095444983416408
T[Del(C):R2]A	0.000296324172867601	0.00601335858949556	0.00083112760277693	0.0122800352888027
T[Del(C):R2]G	6.18465991910657e-05	0.000459305040030568	0.000416456207547495	0.00172696702826127
T[Del(C):R2]T	0.000377727764853563	0.00738320856218508	0.00325787741790012	0.0122124722486554
T[Del(C):R3]A	0.000393580705487614	0.00183673523037341	0.00133265986415199	0.0127458720027259
T[Del(C):R3]G	0.000112032479826863	0.00121084406029841	0.000561620942749765	0.000957862812480802
T[Del(C):R3]T	0.000428920181402633	0.00248753647596906	0.00127554586997404	0.00398705520011824
